circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Silver Forest,東方ノスタルジア,Fanatic Wind,なつみ,NYO,NYO,風神少女　 (Short Version),1,コミックマーケット76
Silver Forest,東方ノスタルジア,幻想ノスタルジア　～ under the illusion,さゆり,NYO,NYO,千年幻想郷　～ History of the Moon,2,コミックマーケット76
Silver Forest,東方ノスタルジア,Cosmic Truth,,Silver Forest,,華のさかづき大江山,3,コミックマーケット76
Silver Forest,東方ノスタルジア,Forcast Function,さゆり,NYO,Silver Forest,ブクレシュティの人形師,4,コミックマーケット76
Silver Forest,東方ノスタルジア,-273 degrees,,Silver Forest,,クリスタライズシルバー,5,コミックマーケット76
Silver Forest,東方ノスタルジア,Blaze of Glory,,Silver Forest,,信仰は儚き人間の為に,6,コミックマーケット76
Silver Forest,東方ノスタルジア,夜空にうごめく月,さゆり,Silver Forest,Silver Forest,蠢々秋月　～ Mooned Insect,7,コミックマーケット76
Silver Forest,東方ノスタルジア,疾風,,Silver Forest,,明日ハレの日、ケの昨日,8,コミックマーケット76
Silver Forest,東方ノスタルジア,幼女の国のダンスフロア,Nano,Silver Forest,bit,御伽の国の鬼が島　～ Missing Power,9,コミックマーケット76
Silver Forest,東方ノスタルジア,最終決戦 ケロ⑨revolution,Nano:なつみ,NYO,bit,ネイティブフェイス:おてんば恋娘,10,コミックマーケット76
